May 04, 2015 2:45:04 PM org.apache.karaf.main.SimpleFileLock lock
INFO: locking
14:45:17,926 | INFO  | pool-12-thread-1 | BrokerService                    | 131 - org.apache.activemq.activemq-osgi - 5.9.0.redhat-610379 | Using Persistence Adapter: KahaDBPersistenceAdapter[/NotBackedUp/cpandey/Downloads/fuse-pocs-camel-spring-properties/fuse-pocs-camel-spring-properties-itest/target/pax/5c63462d-a114-416a-a6be-9fa675a5c526/data/amq/kahadb]
14:45:18,132 | INFO  | pool-12-thread-1 | BrokerService                    | 131 - org.apache.activemq.activemq-osgi - 5.9.0.redhat-610379 | Apache ActiveMQ 5.9.0.redhat-610379 (amq, ID:cpandey.csb-45699-1430730918002-0:1) is starting
14:45:18,150 | INFO  | pool-12-thread-1 | TransportServerThreadSupport     | 131 - org.apache.activemq.activemq-osgi - 5.9.0.redhat-610379 | Listening for connections at: tcp://cpandey.csb:61616?maximumConnections=1000
14:45:18,150 | INFO  | pool-12-thread-1 | TransportConnector               | 131 - org.apache.activemq.activemq-osgi - 5.9.0.redhat-610379 | Connector openwire started
14:45:18,151 | INFO  | pool-12-thread-1 | BrokerService                    | 131 - org.apache.activemq.activemq-osgi - 5.9.0.redhat-610379 | Apache ActiveMQ 5.9.0.redhat-610379 (amq, ID:cpandey.csb-45699-1430730918002-0:1) started
14:45:18,151 | INFO  | pool-12-thread-1 | BrokerService                    | 131 - org.apache.activemq.activemq-osgi - 5.9.0.redhat-610379 | For help or more information please see: http://activemq.apache.org
14:45:18,152 | WARN  | pool-12-thread-1 | BrokerService                    | 131 - org.apache.activemq.activemq-osgi - 5.9.0.redhat-610379 | Store limit is 102400 mb (current store usage is 0 mb). The data directory: /NotBackedUp/cpandey/Downloads/fuse-pocs-camel-spring-properties/fuse-pocs-camel-spring-properties-itest/target/pax/5c63462d-a114-416a-a6be-9fa675a5c526/data/amq/kahadb only has 7283 mb of usable space - resetting to maximum available disk space: 7283 mb
14:45:18,152 | ERROR | pool-12-thread-1 | BrokerService                    | 131 - org.apache.activemq.activemq-osgi - 5.9.0.redhat-610379 | Temporary Store limit is 51200 mb, whilst the temporary data directory: /NotBackedUp/cpandey/Downloads/fuse-pocs-camel-spring-properties/fuse-pocs-camel-spring-properties-itest/target/pax/5c63462d-a114-416a-a6be-9fa675a5c526/data/amq/amq/tmp_storage only has 7283 mb of usable space - resetting to maximum available 7283 mb.
14:45:18,183 | INFO  | pool-12-thread-1 | ActiveMQServiceFactory           | 141 - org.jboss.amq.mq-fabric - 6.1.0.redhat-379 | Broker amq has started.
14:45:18,266 | INFO  | FelixStartLevel  | CXFActivator                     | 162 - org.apache.cxf.cxf-rt-core - 2.7.0.redhat-610379 | Adding the extensions from bundle org.apache.cxf.cxf-rt-management (163) [org.apache.cxf.management.InstrumentationManager]
14:45:18,319 | INFO  | FelixStartLevel  | CXFActivator                     | 162 - org.apache.cxf.cxf-rt-core - 2.7.0.redhat-610379 | Adding the extensions from bundle org.apache.cxf.cxf-rt-bindings-xml (166) [org.apache.cxf.binding.xml.XMLBindingFactory, org.apache.cxf.binding.xml.wsdl11.XMLWSDLExtensionLoader]
14:45:18,327 | INFO  | FelixStartLevel  | CXFActivator                     | 162 - org.apache.cxf.cxf-rt-core - 2.7.0.redhat-610379 | Adding the extensions from bundle org.apache.cxf.cxf-rt-bindings-soap (167) [org.apache.cxf.binding.soap.SoapBindingFactory, org.apache.cxf.binding.soap.SoapTransportFactory]
14:45:18,363 | INFO  | FelixStartLevel  | CXFActivator                     | 162 - org.apache.cxf.cxf-rt-core - 2.7.0.redhat-610379 | Adding the extensions from bundle org.apache.cxf.cxf-rt-transports-http (170) [org.apache.cxf.transport.http.HTTPTransportFactory, org.apache.cxf.transport.http.HTTPWSDLExtensionLoader, org.apache.cxf.transport.http.policy.HTTPClientAssertionBuilder, org.apache.cxf.transport.http.policy.HTTPServerAssertionBuilder, org.apache.cxf.transport.http.policy.NoOpPolicyInterceptorProvider]
14:45:18,365 | INFO  | FelixStartLevel  | CXFActivator                     | 162 - org.apache.cxf.cxf-rt-core - 2.7.0.redhat-610379 | Adding the extensions from bundle org.apache.cxf.cxf-rt-ws-policy (189) [org.apache.cxf.ws.policy.PolicyEngine, org.apache.cxf.policy.PolicyDataEngine, org.apache.cxf.ws.policy.AssertionBuilderRegistry, org.apache.cxf.ws.policy.PolicyInterceptorProviderRegistry, org.apache.cxf.ws.policy.PolicyBuilder, org.apache.cxf.ws.policy.PolicyAnnotationListener, org.apache.cxf.ws.policy.attachment.ServiceModelPolicyProvider, org.apache.cxf.ws.policy.attachment.external.DomainExpressionBuilderRegistry, org.apache.cxf.ws.policy.attachment.external.EndpointReferenceDomainExpressionBuilder, org.apache.cxf.ws.policy.attachment.wsdl11.Wsdl11AttachmentPolicyProvider, org.apache.cxf.ws.policy.mtom.MTOMAssertionBuilder, org.apache.cxf.ws.policy.mtom.MTOMPolicyInterceptorProvider]
14:45:18,401 | INFO  | FelixStartLevel  | HttpServiceFactoryImpl           | 98 - org.ops4j.pax.web.pax-web-runtime - 3.0.6 | Binding bundle: [org.apache.cxf.cxf-rt-transports-http [170]] to http service
14:45:18,473 | INFO  | FelixStartLevel  | CXFActivator                     | 162 - org.apache.cxf.cxf-rt-core - 2.7.0.redhat-610379 | Adding the extensions from bundle org.apache.cxf.cxf-rt-frontend-jaxws (172) [org.apache.cxf.jaxws.context.WebServiceContextResourceResolver]
14:45:18,552 | INFO  | FelixStartLevel  | CXFActivator                     | 162 - org.apache.cxf.cxf-rt-core - 2.7.0.redhat-610379 | Adding the extensions from bundle org.apache.cxf.cxf-rt-bindings-corba (179) [org.apache.cxf.binding.corba.CorbaBindingFactory, org.apache.cxf.binding.corba.wsdl.WSDLExtensionRegister]
14:45:18,569 | INFO  | FelixStartLevel  | CXFActivator                     | 162 - org.apache.cxf.cxf-rt-core - 2.7.0.redhat-610379 | Adding the extensions from bundle org.apache.cxf.cxf-rt-transports-local (181) [org.apache.cxf.transport.local.LocalTransportFactory]
14:45:18,574 | INFO  | FelixStartLevel  | CXFActivator                     | 162 - org.apache.cxf.cxf-rt-core - 2.7.0.redhat-610379 | Adding the extensions from bundle org.apache.cxf.cxf-rt-bindings-object (182) [org.apache.cxf.binding.object.ObjectBindingFactory]
14:45:18,588 | INFO  | FelixStartLevel  | CXFActivator                     | 162 - org.apache.cxf.cxf-rt-core - 2.7.0.redhat-610379 | Adding the extensions from bundle org.apache.cxf.cxf-rt-transports-http-jetty (183) [org.apache.cxf.transport.http_jetty.JettyDestinationFactory, org.apache.cxf.transport.http_jetty.JettyHTTPServerEngineFactory, org.apache.cxf.transport.http.ContinuationProviderFactory]
14:45:18,620 | INFO  | FelixStartLevel  | CXFActivator                     | 162 - org.apache.cxf.cxf-rt-core - 2.7.0.redhat-610379 | Adding the extensions from bundle org.apache.cxf.cxf-rt-transports-jms (185) [org.apache.cxf.transport.jms.JMSTransportFactory, org.apache.cxf.transport.jms.wsdl11.JMSWSDLExtensionLoader]
14:45:18,626 | INFO  | FelixStartLevel  | CXFActivator                     | 162 - org.apache.cxf.cxf-rt-core - 2.7.0.redhat-610379 | Adding the extensions from bundle org.apache.cxf.cxf-rt-transports-udp (186) [org.apache.cxf.transport.udp.UDPTransportFactory]
14:45:18,762 | INFO  | FelixStartLevel  | CXFActivator                     | 162 - org.apache.cxf.cxf-rt-core - 2.7.0.redhat-610379 | Adding the extensions from bundle org.apache.cxf.cxf-rt-ws-addr (194) [org.apache.cxf.ws.addressing.policy.AddressingAssertionBuilder, org.apache.cxf.ws.addressing.policy.UsingAddressingAssertionBuilder, org.apache.cxf.ws.addressing.policy.AddressingPolicyInterceptorProvider, org.apache.cxf.ws.addressing.impl.AddressingWSDLExtensionLoader, org.apache.cxf.ws.addressing.WSAddressingFeature$WSAddressingFeatureApplier, org.apache.cxf.ws.addressing.MAPAggregator$MAPAggregatorLoader]
14:45:18,786 | INFO  | FelixStartLevel  | CXFActivator                     | 162 - org.apache.cxf.cxf-rt-core - 2.7.0.redhat-610379 | Adding the extensions from bundle org.apache.cxf.cxf-rt-ws-mex (198) [org.apache.cxf.ws.mex.MEXServerListener]
14:45:18,789 | INFO  | FelixStartLevel  | CXFActivator                     | 162 - org.apache.cxf.cxf-rt-core - 2.7.0.redhat-610379 | Adding the extensions from bundle org.apache.cxf.cxf-rt-ws-security (196) [org.apache.cxf.ws.security.policy.WSSecurityPolicyLoader, org.apache.cxf.ws.security.cache.CacheCleanupListener]
14:45:18,798 | INFO  | FelixStartLevel  | CXFActivator                     | 162 - org.apache.cxf.cxf-rt-core - 2.7.0.redhat-610379 | Adding the extensions from bundle org.apache.cxf.cxf-rt-ws-rm (197) [org.apache.cxf.ws.rm.RMManager, org.apache.cxf.ws.rm.policy.RMPolicyInterceptorProvider, org.apache.cxf.ws.rm.policy.RMAssertionBuilder, org.apache.cxf.ws.rm.policy.RM11AssertionBuilder]
14:45:18,815 | INFO  | FelixStartLevel  | CXFActivator                     | 162 - org.apache.cxf.cxf-rt-core - 2.7.0.redhat-610379 | Adding the extensions from bundle org.apache.cxf.cxf-rt-javascript (199) [org.apache.cxf.javascript.JavascriptQueryHandler]
14:45:18,853 | INFO  | FelixStartLevel  | CXFActivator                     | 162 - org.apache.cxf.cxf-rt-core - 2.7.0.redhat-610379 | Adding the extensions from bundle org.apache.camel.camel-cxf-transport (204) [org.apache.camel.component.cxf.transport.CamelTransportFactory]
14:45:19,044 | INFO  | FelixStartLevel  | Activator                        | 228 - org.apache.camel.camel-script - 2.12.0.redhat-610379 | Camel-Script activator starting
14:45:19,082 | INFO  | FelixStartLevel  | Activator                        | 228 - org.apache.camel.camel-script - 2.12.0.redhat-610379 | Found ScriptEngineFactory in groovy-all
14:45:19,084 | INFO  | FelixStartLevel  | Activator                        | 228 - org.apache.camel.camel-script - 2.12.0.redhat-610379 | Camel-Script activator started
14:45:19,625 | INFO  | FelixStartLevel  | HttpServiceFactoryImpl           | 98 - org.ops4j.pax.web.pax-web-runtime - 3.0.6 | Binding bundle: [io.hawt.hawtio-web [246]] to http service
14:45:19,674 | INFO  | pool-13-thread-1 | ConfigManager                    | 246 - io.hawt.hawtio-web - 1.2.0.redhat-379 | Configuration will be discovered via system properties
